# Microeconomics Sample Tasks
# Format: task_id | question | estimated_difficulty | estimated_time(seconds)

microeconomics_001 | Define opportunity cost and give a real-world example | 2 | 90
microeconomics_002 | Explain the law of demand | 1 | 60
microeconomics_003 | What is price elasticity of demand and how is it calculated? | 3 | 120
microeconomics_004 | Describe the concept of marginal utility | 2 | 80
microeconomics_005 | What are the characteristics of a perfectly competitive market? | 2 | 100
microeconomics_006 | Explain the difference between accounting profit and economic profit | 3 | 110
microeconomics_007 | What is consumer surplus? Draw a diagram to illustrate | 2 | 95
microeconomics_008 | Define and explain three types of price discrimination | 3 | 130
microeconomics_009 | Explain diminishing marginal returns with an example | 2 | 85
microeconomics_010 | How is equilibrium price determined in a market? | 2 | 75
